excuse|原谅
hard-working|勤奋的
sales reps|推销员
man|男人
office|办公室
assistant|助手
they|他(她,它)们(主语,句前)
their|他(她,它)们的
those|那些
matter|事件
children|孩子们(child的复数)
tired|累;疲乏
boy|男孩
thirsty|渴
Mum|妈妈(儿语)
sit down|坐下
right|好的;右边
ice cream|冰淇淋
big|大的(伟大;重要)
small|小的
open|开着的;打开
shut|关着的;关门
light|轻的
heavy|重的
long|长的
shoe|鞋子
grandfather|祖父
grandmother|祖母
them|他(她,它)们(宾语,句后)
trouser|裤子
give|给
one|一个
which|哪一个
empty|空的;倒空;使...变空
full|满的
large|大的
little|小的(带感情色彩)
sharp|尖的;锋利的
blunt|钝的
box|盒子;箱子
glass|杯子
cup|茶杯
bottle|瓶子
tin|罐头
knife|刀子
fork|叉子
spoon|勺子
on|在...之上
shelf|架子;搁板
desk|书桌
table|桌子
plate|盘子
cupboard|橱柜
cigarette|香烟
television|电视机
floor|地板
dressing table|梳妆台
magazine|杂志
bed|床
newspaper|报纸
stereo|立体声音响
chair|椅子
Mrs|夫人
kitchen|厨房
refrigerator|电冰箱
electric|带电的,可通电的
left|左边
cooker|炉子;炊具
middle|中间
of|(属于)...的
room|房间
where|在哪里
in|在...里面
living room|客厅
near|靠近
window|窗户
armchair|扶手椅
door|门
picture|图片
wall|墙
bedroom|卧室
untidy|乱;不整齐
must|必须;应该
air|使...通风
put|放置
clothes|衣服
wardrobe|大衣柜
dust|掸掉灰尘
sweep|扫
read|读
sharpen|削尖;使...锋利
put on|穿上
take off|脱掉
turn on|打开(电灯)
turn off|关上(电灯)
day|日子
cloud|云
sky|天空
sun|太阳
shine|照耀
with|和...一起
family|家庭(成员)
walk|走路,步行
over|跨越,在...之上
bridge|桥
boat|船
river|河
ship|轮船
aeroplane|飞机
fly|飞
sleep|睡觉
shave|刮脸
cry|哭,喊
wash|洗
wait|等
jump|跳
photograph|照片
village|村庄
valley|山谷
between|在...之间
hill|小山
another|另一个
wife|妻子
along|沿着
bank|河岸;银行
water|水
swim|游泳
building|大楼,建筑物
park|公园
into|进入
beside|在...旁边
off|离开;从...落下;从...去掉;下班
work|工作(不可数)
hard|努力地
bookcase|书橱,书架
hammer|锤子
paint|上漆,涂
pink|粉红色
favourite|最喜欢的
homework|作业
listen|听
dish|盘子,碟子
front|前面
in front of|在...之前
careful|小心的,仔细的
vase|花瓶
drop|(使)落下;放弃;停止
flower|花
show|给...看
send|送给
take|带给
cheese|乳酪
bread|面包
soap|肥皂
chocolate|巧克力
sugar|糖
coffee|咖啡
tea|茶
tobacco|烟草,烟丝
bird|鸟
any|一些(疑问/否定);任何的
some|一些(肯定/请求疑问)
of course|当然
kettle|水壶
behind|在...后面
teapot|茶壶
now|现在,此刻
find|找到
boil|沸腾
can|能够
boss|老板
minute|分(钟)
ask|请求;要求;询问
handwriting|书写
terrible|糟糕的,可怕的
lift|拿起,搬起,举起
cake|蛋糕
biscuit|饼干
like|喜欢,想要
want|想
fresh|新鲜的
egg|鸡蛋
butter|黄油
pure|纯净的
honey|蜂蜜
ripe|成熟的
banana|香蕉
jam|果酱
sweet|甜的
Scotch whisky|苏格兰威士忌
choice|上等的,精选的
apple|苹果
wine|酒,果酒
beer|啤酒
blackboard|黑板
butcher|卖肉的
meat|(食用)肉
beef|牛肉
lamb|羔羊肉
husband|丈夫
steak|牛排
mince|肉馅,绞肉
chicken|鸡
tell|告诉
truth|实情
either|也(用于否定句)
tomato|西红柿
potato|土豆
cabbage|卷心菜
lettuce|莴苣
pea|豌豆
bean|豆角
pear|梨
grape|葡萄
peach|桃
Greece|希腊
climate|气候
country|国家
pleasant|宜人的
weather|天气
spring|春天
windy|有风的
warm|温暖的
rain|下雨
sometimes|有时
summer|夏天
autumn|秋天
winter|冬天
snow|下雪
January|一月
February|二月
March|三月
April|四月
May|五月;可以(表示请求)
June|六月
July|七月
August|八月
September|九月
October|十月
November|十一月
December|十二月
the U.S.|美国
Brazil|巴西
Holland|荷兰
England|英国
France|法国
Germany|德国
Italy|意大利
Norway|挪威
Russia|俄罗斯
Spain|西班牙
Sweden|瑞典
mild|温和的,温暖的
always|总是
north|北方
east|东方
wet|潮湿的
west|西方
south|南方
season|季节
best|最好的
night|夜晚
rise|升起
early|早;早的
set|(太阳)落山
late|迟,晚
interesting|有趣的,有意思的
subject|话题
conversation|谈话(非正式)
certainly|当然;无疑;确实
Australia|澳大利亚
Australian|澳大利亚人
Austria|奥地利
Austrian|奥地利人
Canada|加拿大
Canadian|加拿大人
China|中国
Finland|芬兰
Finnish|芬兰人
India|印度
Indian|印度人
Japan|日本
Nigeria|尼日利亚
Nigerian|尼日利亚人
Turkey|土耳其
Turkish|土耳其人
Korea|韩国
Polish|波兰人
Poland|波兰
Thai|泰国人
Thailand|泰国
live|住
stay|呆在,停留
home|家;在家,到家
housework|家务
lunch|午饭
afternoon|下午
usually|通常
together|一起
evening|晚上
arrive|到达
street|街道
o'clock|点钟
shop|商店
moment|片刻,瞬间
envelope|信封
writing paper|信纸
shop assistant|售货员
size|尺寸,尺码,大小
pad|信笺簿,便签簿
glue|胶水
chalk|粉笔
change|零钱,找零
feel|感觉
look|看(起来)
call|叫,请
doctor|医生
telephone|打电话;电话
remember|记得,记住
mouth|嘴
tongue|舌头
bad|坏的,严重的
news|消息
headache|头痛
aspirin|阿司匹林
earache|耳朵痛
toothache|牙痛
dentist|牙医
stomach ache|胃痛
medicine|药
temperature|温度;发烧
flu|流行性感冒
measles|麻疹
mumps|腮腺炎
better|形容词well的比较级
get up|起床
yet|还,已经
rich|油腻的
food|食物
remain|保持,继续
play|玩
match|火柴
talk|谈话;交谈
library|图书馆
drive|开车
so|如此地
quickly|迅速地
lean out of|身体探出
break|打破
noise|喧闹声
Dad|爸(儿语)
key|钥匙
baby|婴儿
hear|听见
enjoy|玩得快活
yourself|你自己
ourselves|我们自己
myself|我自己
themselves|他们自己
himself|他自己
herself|她自己
greengrocer|蔬果店
absent|缺席的
Monday|星期一
Tuesday|星期二
Wednesday|星期三
Thursday|星期四
keep|(身体健康)处于(状况);保持
spend|度过
weekend|周末
Friday|星期五
Saturday|星期六
Sunday|星期天
lucky|幸运的
church|教堂
dairy|乳品店
baker|面包师
grocer|杂货店;食品店
year|年
race|比赛
town|城镇
crowd|人群
stand|站立
exciting|使人激动的
just|正好,恰好
finish|结尾,结束
winner|获胜者
way|道路;方向
stationer|文具商
Denmark|丹麦
awful|让人讨厌的,坏的
time|次(数);时间
answer|接(电话);回答
last|最后的,前一次的
phone|电话
again|又一次地
say|说
week|周
London|伦敦
suddenly|突然地
bus stop|公共汽车站
smile|微笑
pleasantly|愉快地
understand|懂,明白
speak|讲,说
hand|手
pocket|口袋
phrasebook|短语手册,常用语手册
phrase|短语
slowly|缓慢地
hurriedly|匆忙地
cut|割,切
thirstily|如饥似渴地
go|走
greet|问候,打招呼
warmly|热情地
ago|以前
buy|买
pair|双,对
fashion|(服装的)流行样式
uncomfortable|不舒服的
wear|穿着;带着;面露;留着
afraid|恐怕
appointment|约会,预约
urgent|紧急的,急迫的
till|直到...为止
shopping|购物
list|清单
vegetable|蔬菜
need|需要
hope|希望
thing|事情
money|钱
groceries|杂货店,杂货,食品
fruit|水果
stationery|文具
newsagent|报刊零售人
chemist|药剂师,化学家
bath|洗澡
nearly|几乎,将近
ready|准备好的,完好的
dinner|正餐,晚餐
restaurant|饭馆,餐馆
roast|烤的
breakfast|早饭
haircut|理发
party|聚会
holiday|假日
mess|杂乱,凌乱
pack|包装,打包,装箱
suitcase|手提箱
leave|离开;遗弃
already|已经
tomorrow|明天
Paris|巴黎
cinema|电影院
film|电影
beautiful|漂亮的
city|城市
never|从来没有
ever|永远;曾经
attendant|接待员
bring|带来,送来
garage|车库,汽车修理厂
crash|碰撞
lamp-post|灯杆
repair|修理
try|努力,设法;尝试
still|仍然;还要
believe|相信,认为
how long|多长;多久
since|自从
why|为什么
sell|卖,出售
because|因为
retire|退休
cost|花费
pound|英镑
worth|值...钱
penny|便士
decide|决定
move|搬家
neighbour|邻居
person|人
people|人们
poor|可怜的,贫穷的
regards|问候
pilot|飞行员
return|返回
New York|纽约
Tokyo|东京
Madrid|马德里
Athens|雅典
Berlin|柏林
Bombay|孟买
Geneva|日内瓦
Moscow|莫斯科
Rome|罗马
Seoul|首尔
Stockholm|斯德哥尔摩
Sydney|悉尼
